제목,기사 내용
시민 약속 지킨 이상일 용인시장..탄천 산책로 쉼터·화장실 조성,"시민 약속 지킨 이상일 용인시장..탄천 산책로 쉼터·화장실 조성

이상일 용인특례시장 민선8기 공약사업으로 추진…음수대·벤치 갖춘 휴식공간 마련

이상일 용인특례시장이 지난 7월 19일 이 시장의 공약사업의 일환이었던 수지구 탄천 산책로 쉼터 조성 공사현장을 방문해 화장실 조성 현황을 점검하고 있다. / 사진 : 용인시 제공









[대한경제=박범천 기자]용인특례시가 수지구 죽전동 탄천 산책로에 주민 쉼터와 화장실을 조성해 시민에 개방했다.



20일 시에 따르면 이 사업은 이상일 용인특례시장의 민선8기 공약사업의 일환으로 시비 5억원을 투입, 지난해 10월부터 추진됐다. 1년 만에 시민과의 약속을 지킨 셈이다.



이 시장은 지난 9월 직접 공사 현장을 찾아 화장실의 완성된 상태를 확인하고 쉼터엔 시민 안전을 위해 자전거 도로와 만나는 진입부에 울타리를 설치하는 등 시민들이 원하는 휴게공간이 들어서도록 차질없이 공사를 마무리할 것을 구 관계자에게 주문했다.



연면적 21㎡ 규모에 조성된 쉼터에는 음수대와 테이블, 의자 등이 마련돼 이곳을 오가는 시민들이 잠시나마 여유를 누리도록 했다.



이 시장의 지시대로 자전거를 타는 시민과 접촉 사고가 일어나지 않도록 쉼터 입구의 계단엔 울타리를 설치했다.









용인특례시가 수지구 탄천 산책로에 쉼터를 조성했다. / 사진 : 용인시 제



돔 형태의 알루미늄 천장이 눈에 띄는데 열전도를 낮춰주는 특수 소재로 코팅해 주민들이 사계절 내내 안전하고 편리한 쉼터를 이용하도록 했다.



남‧여 화장실에는 장애인 화장실과 안심 비상벨, 에어컨을 갖췄다.









용인특례시가 수지구 탄천 산책로에 쉼터를 조성했다. / 사진 : 용인시 제





스케이트장이나 운동시설이 있어 많은 주민이 즐겨찾는 곳이지만 종전엔 화장실을 가려면 3km 가량 떨어진 대형마트를 이용해야해 불편했다.



이 시장은 “시민 삶의 질을 높이기 위한 생활 밀착형 사업으로 탄천에 쉼터와 화장실을 조성키로 했고 마침내 약속을 지키게 됐다”며 “앞으로도 시민들이 생활 속에서 용인시의 발전된 모습을 체감할 수 있도록 살기좋은 도시를 만드는 데 최선을 다하겠다”고 말했다.









용인=박범천 기자 pbc2001@



〈ⓒ 대한경제신문(www.dnews.co.kr), 무단전재 및 수집, 재배포금지〉"
"용인시, 탄천 산책로 쉼터·화장실 조성","[용인시 제공]

[헤럴드경제(용인)=박정규 기자] 용인특례시(시장 이상일)는 수지구 죽전동 탄천 산책로에 주민 쉼터와 화장실을 조성해 시민에 개방했다고 20일 밝혔다.

이상일 용인특례시장의 민선8기 공약사업의 일환으로 시비 5억원을 투입, 지난해 10월부터 추진됐다. 1년 만에 시민과의 약속을 지킨 셈이다.

이 시장은 지난 9월 직접 공사 현장을 찾아 화장실의 완성된 상태를 확인하고 쉼터엔 시민 안전을 위해 자전거 도로와 만나는 진입부에 울타리를 설치하는 등 시민들이 원하는 휴게공간이 들어서도록 차질없이 공사를 마무리할 것을 구 관계자에게 주문했다.

연면적 21㎡ 규모에 조성된 쉼터에는 음수대와 테이블, 의자 등이 마련돼 이곳을 오가는 시민들이 잠시나마 여유를 누리도록 했다.

이 시장의 지시대로 자전거를 타는 시민과 접촉 사고가 일어나지 않도록 쉼터 입구의 계단엔 울타리를 설치했다.

돔 형태의 알루미늄 천장이 눈에 띄는데 열전도를 낮춰주는 특수 소재로 코팅해 주민들이 사계절 내내 안전하고 편리한 쉼터를 이용하도록 했다. 남‧여 화장실에는 장애인 화장실과 안심 비상벨, 에어컨을 갖췄다.

스케이트장이나 운동시설이 있어 많은 주민이 즐겨찾는 곳이지만 종전엔 화장실을 가려면 3㎞ 가량 떨어진 대형마트를 이용해야해 불편했다.

이 시장은 “시민 삶의 질을 높이기 위한 생활 밀착형 사업으로 탄천에 쉼터와 화장실을 조성키로 했고 마침내 약속을 지키게 됐다”며 “앞으로도 시민들이 생활 속에서 용인시의 발전된 모습을 체감할 수 있도록 살기좋은 도시를 만드는 데 최선을 다하겠다”고 말했다.

fob140@heraldcorp.com"
"용인시, 5억원 투입해 탄천 산책로 쉼터·화장실 조성","▲용인특례시가 수지구 탄천 산책로에 쉼터를 조성했다. 사진제공=용인시

[용인=에너지경제신문 송인호 기자] 경기용인특례시가 20일 수지구 죽전동 탄천 산책로에 주민 쉼터와 화장실을 조성해 시민에 개방했다고 밝혔다.



시에 따르면 이 사업은 이상일 용인특례시장의 민선8기 공약사업의 일환으로 시비 5억원을 투입, 지난해 10월부터 추진됐으며 1년 만에 이 시장이 시민과의 약속을 지킨 셈이다.



앞서 이 시장은 지난 9월 직접 공사 현장을 찾아 화장실의 완성된 상태를 확인하고 쉼터엔 시민 안전을 위해 자전거 도로와 만나는 진입부에 울타리를 설치하는 등 시민들이 원하는 휴게공간이 들어서도록 차질없이 공사를 마무리할 것을 구 관계자에게 주문했었다.



연면적 21㎡ 규모에 조성된 쉼터에는 음수대와 테이블, 의자 등이 마련돼 이곳을 오가는 시민들이 잠시나마 여유를 누리도록 했다.





▲이상일 용인특례시장이 지난 7월 19일 이 시장의 공약사업의 일환이었던 수지구 탄천 산책로 쉼터 조성 공사현장을 방문해 화장실 조성 현황을 점검하고 있다. 사진제공=용인시

이 시장의 지시대로 자전거를 타는 시민과 접촉 사고가 일어나지 않도록 쉼터 입구의 계단엔 울타리를 설치했으며 돔 형태의 알루미늄 천장이 눈에 띄는데 열전도를 낮춰주는 특수 소재로 코팅해 주민들이 사계절 내내 안전하고 편리한 쉼터를 이용하도록 했다.







남·여 화장실에는 장애인 화장실과 안심 비상벨, 에어컨을 갖췄다.



스케이트장이나 운동시설이 있어 많은 주민이 즐겨찾는 곳이지만 종전엔 화장실을 가려면 3km 가량 떨어진 대형마트를 이용해야해 불편했다.



이상일 용인특례시장은 ""시민 삶의 질을 높이기 위한 생활 밀착형 사업으로 탄천에 쉼터와 화장실을 조성키로 했고 마침내 약속을 지키게 됐다""며 ""앞으로도 시민들이 생활 속에서 용인시의 발전된 모습을 체감할 수 있도록 살기좋은 도시를 만드는 데 최선을 다하겠다""고 말했다.

sih31@ekn.kr



"
"용인시, 탄천 산책로 쉼터·화장실 조성... 이상일 시장 약속 이행","〔스포츠서울│용인=좌승훈기자〕경기 용인시는 수지구 죽전동 1070-40번지 탄천 산책로에 주민 쉼터와 화장실을 조성해 시민에 개방했다고 20일 밝혔다.

이 사업은 이상일 시장의 민선8기 공약사업의 일환으로 시비 5억원을 투입, 지난해 10월부터 추진됐다. 1년 만에 시민과의 약속을 지킨 것이다.

이 시장은 지난 9월 직접 공사 현장을 찾아 화장실의 완성된 상태를 확인하고 쉼터엔 시민 안전을 위해 자전거 도로와 만나는 진입부에 울타리를 설치하는 등 시민들이 원하는 휴게공간이 들어서도록 차질없이 공사를 마무리할 것을 구 관계자에게 주문했다.

연면적 21㎡ 규모에 조성된 쉼터에는 음수대와 테이블, 의자 등이 마련돼 이곳을 오가는 시민들이 잠시나마 쉴수있다.

시는 이 시장의 지시대로 자전거를 타는 시민과 접촉 사고가 일어나지 않도록 쉼터 입구의 계단엔 울타리를 설치했다.

돔 형태의 알루미늄 천장은 열전도를 낮춰주는 특수 소재로 코팅해 주민들이 사계절 내내 안전하고 편리한 쉼터를 이용하도록 했다.

남‧여 화장실에는 장애인 화장실과 안심 비상벨, 에어컨을 갖춰졌는데, 스케이트장이나 운동시설이 있어 많은 주민이 즐겨찾는 곳이지만 종전엔 화장실을 가려면 3km 가량 떨어진 대형마트를 이용해야하는 불편을 겪어왔다.

이 시장은 “시민 삶의 질을 높이기 위한 생활 밀착형 사업으로 탄천에 쉼터와 화장실을 조성키로 했고 마침내 약속을 지키게 됐다”며 “앞으로도 시민들이 생활 속에서 용인시의 발전된 모습을 체감할 수 있도록 살기좋은 도시를 만드는 데 최선을 다하겠다”고 말했다.

hoonjs@sportsseoul.com"
이재준 “수원시 10개국 26곳에 ‘메이드 인 수원 화장실’ 보급했다”,"-올 연말에도 라오스 등 2개 나라에 시가 만든 화장실이 문 열 예정

〔스포츠서울│수원=좌승훈기자〕세계화장실협회(WTA) 제6대 회장인 이재준 수원특례시장은 세계화장실의 날인 19일 자신의 페이스북에 “수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다”며 “올 연말에도 라오스 등 2개 나라에 시가 만든 화장실이 문을 열 예정”이라고 밝혔다.

수원시는 아름다운 화장실 문화의 중심지다. 시의 ‘대유평 화장실’은 지난 달 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다. 이번 수상을 포함해 ‘아름다운 화장실 공모전’에서 29차례 수상하며 ‘명품 화장실 도시’로서 위상을 공고히 하고 있다.

1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다. 또 금상은 3회, 은상 9회, 동상 9회, 특별상 4회에 이른다.

시는 개발도상국 곳곳에 ‘Suwon Public Toilet(수원화장실)’을 설립하고 있다. 수원화장실은 시가 지난 2014년부터 추진해 온 개발도상국 공중화장실 설립 지원사업으로 설립됐다.

라오스 루앙프라방 꽝시폭포나 캄보디아 씨엠립 앙코르와트 유적지 등 유명 관광지를 비롯해 라오스, 캄보디아, 네팔, 베트남, 방글라데시, 필리핀, 터키, 미얀마, 몽골, 잠비아 등 10개국에 수원화장실 26곳이 있다.

시는 화변기 설치율이 높은 학교를 대상으로 화변기를 양변기로 교체할 계획이다. 내년 전체 변기 중 화변기 비율을 7%까지 줄이는 것을 목표로 삼았다. 2026년까지 화변기 비율을 3%까지 줄일 계획이다.

또 공중화장실을 개선하기 위해 노후화된 화장실은 리모델링하고, 화변기가 설치된 공중화장실 32개소 중 20개소에 있는 화변기 41개를 양변기로 교체한다.

올해 11월 기준 비상시 경찰에 비상 알림을 전달하는 비상벨을 68곳 공중화장실에 설치했고, 내년 60개소, 2025년 48개소에 설치한다. 개방화장실에는 현재 편의용품(휴지, 종량제봉투, 물비누)을 지원 중이며, 내년부터 운영비용을 추가 지원해 개방화장실을 확대 운영할 계획이다.

hoonjs@sportsseoul.com"
"이재준 수원시장 ""깨끗한 화장실, 인류 보편권리로 자리 잡도록 수원시가 노력...","이재준 수원특례시장이 지난 5월 세계화장실협회 제6회 총회에서 발언하고 있다. 사진=수원특례시 제공

[일요신문] 이재준 수원특례시장은 세계화장실의 날인 11월 19일 ""깨끗한 화장실이 인류 보편의 권리로 자리 잡을 수 있도록 수원시가 성실히 노력하겠다""고 밝혔다. 세계화장실협회(WTA) 제6대 회장인 이 시장은 이날 자신의 페이스북에 ""수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다. 올 연말에도 라오스 등 2개 나라에 수원시가 만든 화장실이 문을 열 예정”이라며 이같이 글을 게시했다.수원시는 아름다운 화장실 문화의 중심지다. 수원시의 ‘대유평 화장실’은 지난 10월 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다. 이번 수상을 포함해 ‘아름다운 화장실 공모전’에서 29차례 수상하며 ‘명품 화장실 도시’로서 위상을 공고히 하고 있다. 제1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다. 또 금상은 3회, 은상 9회, 동상 9회, 특별상 4회에 이른다.수원시는 개발도상국 곳곳에 ‘Suwon Public Toilet(수원화장실)’을 설립하고 있다. 수원화장실은 수원시가 지난 2014년부터 추진해 온 개발도상국 공중화장실 설립 지원사업으로 설립됐다. 라오스 루앙프라방 꽝시폭포나 캄보디아 씨엠립 앙코르와트 유적지 등 유명 관광지를 비롯해 라오스, 캄보디아, 네팔, 베트남, 방글라데시, 필리핀, 터키, 미얀마, 몽골, 잠비아 등 10개국에 수원화장실 26개소가 있다.수원시는 관내 화변기 설치율이 높은 학교를 대상으로 화변기를 양변기로 교체할 계획이다. 2024년 전체 변기 중 화변기 비율을 7%까지 줄이는 것을 목표로 삼았다. 2026년까지 화변기 비율을 3%까지 줄일 계획이다. 또한 공중화장실을 개선하기 위해 노후화된 화장실은 리모델링하고, 화변기가 설치된 공중화장실 32개소 중 20개소에 있는 화변기 41개를 양변기로 교체한다.올해 11월 기준 비상시 경찰에 비상 알림을 전달하는 비상벨을 68개소 공중화장실에 설치했고, 2024년 60개소, 2025년 48개소에 설치할 예정이다. 개방화장실에는 현재 편의용품(휴지, 종량제봉투, 물비누)을 지원 중이며, 2024년부터 운영비용을 추가 지원해 개방화장실을 확대 운영할 계획이다.손시권 경인본부 기자 ilyo22@ilyo.co.kr"
치안 사각지대 둘레길 11곳 방범시설 구축,"도 자치경찰위, CCTV 등 설치

이상동기 범죄 예방 효과 기대

﻿김현태 경남도자치경찰위원장이 둘레길 방범시설 설치 현장을 점검하고 있다. / 경남도

경남도자치경찰위원회(위원장 김현태)는 이상동기 범죄 예방과 도민 안전 확보를 위해 치안 사각지대 우려 지역에 각종 방범시설을 설치했다고 19일 밝혔다.

이번에 우선 설치된 곳은 6개 시·군 둘레길 11곳으로, 경남도 예산 1억 원을 예비비로 확보해 이동형 폐쇄회로TV(16대), 보안등(4대), 비상벨(18대)을 구축했다.

앞서 경남자치경찰위는 최근 잇따른 흉기 난동, 둘레길 폭행 등 이상동기 범죄에 선제 대응할 필요가 있다고 보고 지난달 '사회적 폭력 예방 종합 대책'을 발표한 바 있다. 또한, 도내 23개 경찰서는 18개 시·군과 협력해 범죄취약지역에 대한 합동점검을 실시해 방범시설 설치 지역을 선정했다.

김현태 위원장은 ""경남도의 최우선 과제는 도민 안전""이라며 ""앞으로도 각종 범죄에 선제 대응해 도민들이 안심하고 생활할 수 있도록 하겠다""고 말했다."
"이재준 수원특례시장, ""깨끗한 화장실이 인류 보편 권리""...지속적 노력 강조","내용요약 세계화장실의 날인 11월 19일 페이스북에 글 게시

이재준 수원시장은 세계화장실의 날인 19일 자신의 페이스북에 글을 게시하고, “수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다”며 “올 연말에도 라오스 등 2개 나라에 수원시가 만든 화장실이 문을 열 예정”이라고 밝혔다./ 수원특례시 제공

[한스경제=(수원)김두일 기자] 세계화장실협회(WTA) 제6대 회장인 이재준 수원특례시장이 “깨끗한 화장실이 인류 보편의 권리로 자리 잡을 수 있도록 수원시가 성실히 노력하겠다”고 밝혔다.

이재준 수원시장은 세계화장실의 날인 19일 자신의 페이스북에 글을 게시하고, “수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다”며 “올 연말에도 라오스 등 2개 나라에 수원시가 만든 화장실이 문을 열 예정”이라고 밝혔다.

수원시의 ‘대유평 화장실’은 지난 10월 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다./ 수원특례시 제공

수원시는 아름다운 화장실 문화의 중심지다. 수원시의 ‘대유평 화장실’은 지난 10월 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다. 이번 수상을 포함해 ‘아름다운 화장실 공모전’에서 29차례 수상하며 ‘명품 화장실 도시’로서 위상을 공고히 하고 있다.

제1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다. 또 금상은 3회, 은상 9회, 동상 9회, 특별상 4회에 이른다.

제1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다./ 수원특례시 제공

수원시는 개발도상국 곳곳에 ‘Suwon Public Toilet(수원화장실)’을 설립하고 있다. 수원화장실은 수원시가 지난 2014년부터 추진해 온 개발도상국 공중화장실 설립 지원사업으로 설립됐다.

라오스 루앙프라방 꽝시폭포나 캄보디아 씨엠립 앙코르와트 유적지 등 유명 관광지를 비롯해 라오스, 캄보디아, 네팔, 베트남, 방글라데시, 필리핀, 터키, 미얀마, 몽골, 잠비아 등 10개국에 수원화장실 26개소가 있다.

한편, 수원시는 관내 화변기 설치율이 높은 학교를 대상으로 화변기를 양변기로 교체할 계획이다. 2024년 전체 변기 중 화변기 비율을 7%까지 줄이는 것을 목표로 삼았다. 2026년까지 화변기 비율을 3%까지 줄일 계획이다.

또 공중화장실을 개선하기 위해 노후화된 화장실은 리모델링하고, 화변기가 설치된 공중화장실 32개소 중 20개소에 있는 화변기 41개를 양변기로 교체한다. 올해 11월 기준 비상시 경찰에 비상 알림을 전달하는 비상벨을 68개소 공중화장실에 설치했고, 2024년 60개소, 2025년 48개소에 설치할 예정이다. 개방화장실에는 현재 편의용품(휴지, 종량제봉투, 물비누)을 지원 중이며, 2024년부터 운영비용을 추가 지원해 개방화장실을 확대 운영할 계획이다.

김두일 기자 tuilkim@naver.com"
"경남자치경찰위, CCTV·비상벨설치","경남자치경찰위원회는 이상동기 범죄를 예방하기 위해 치안 사각지대로 우려되는 6개 시·군 둘레길 11곳에 각종 방범시설을 설치했다고 19일 밝혔다.



경남자치경찰위원회는 경남도 예산 1억원을 예비비로 확보해 6개 시군 둘레길에 이동형 폐쇄회로TV(16대), 보안등(4대), 비상벨(18대)을 우선 설치하여 둘레길 치안 사각지대를 보완했다.



김현태 경남도자치경찰위원장은 ‘사회적폭력 예방 종합대책’의 하나로, 이상동기 범죄 예방을 위해 용추계곡 둘레길에 설치한 범죄예방 시설을 찾아 방범시설의 설치 장소 적절성과 작동 현황을 직접 점검했다.





경상남도자치경찰위원회 관계자들이 방범시설 설치 시설을 점검하고 있다. 사진=경남도

앞서 경상남도자치경찰위원회(이하 ‘경남자경위’)는 최근 잇따른 흉기 난동, 둘레길 폭행 등 이상동기 범죄에 선제적으로 대응하기 위해 지난 10월 ‘사회적폭력 예방 종합 대책’을 발표한 바 있으며, 도내 23개 경찰서는 18개 시군과 협력체계를 구축하여 범죄취약지역에 대한 합동점검을 실시했다.경남자치경찰위는 이를 바탕으로 범죄예방시설이 미설치된 둘레길을 방범시설 긴급 설치 필요 지역으로 선정해 최종 설치를 완료하게 됐다.김현태 경남자경위 위원장은 이날 둘레길 범죄예방시설 설치 현장을 점검하며, “경남도의 최우선 과제는 도민안전”이라며 “앞으로도 각종 범죄에 선제적으로 대응하여, 도민들이 안심하고 생활할 수 있는 경남 생활안전 확보에 최선을 다하겠다”고 말했다. 김순철기자 ksc2@gnnews.co.kr"
관리도 안 되고 위치도 모르고… 부실한 '안전부스',"수원시 인계동 한 안전부스 앞에 박스와 쓰레기봉투 등이 놓아져 있다. 한준호기자.

인적드물거나 범죄위험지역 추진 용인·수원 유동인구 많은 곳 마련 주변 쓰레기·담배꽁초 나뒹굴어

여성과 아동 등 범죄 취약계층의 긴급 대피를 위해 설치된 안전부스가 홍보 부족과 부실한 관리로 실효성에 의문이 제기되고 있다.



안전부스는 긴급상황이 발생했을 경우 부스 안으로 들어가 비상벨을 누르면 문이 자동으로 잠기고 각 기초지방자치단체의 도시안전통합센터를 통해 가까운 지구대에 신고가 접수되는 시설이다.



19일 중부일보 취재를 종합하면 지난 2015년 광주시를 시작으로 현재 전국 50여 지자체에 안전부스가 설치됐다.



인적이 드물거나 범죄가 발생할 확률이 높은 지역 인근에 설치돼야 하지만 버스정류장과 같은 유동 인구가 많은 곳에 설치되는 등 세밀한 검토 없이 안전부스가 설치돼 활용도가 낮다는 지적이다.



용인시 보정동 한 골목에 설치된 안전부스는 입구에 화단이 놓여 있어서 위급상황 시 빠른 진입이 불가능해 보였다.

용인시 한 카페거리에 비치된 안전부스의 모습. 한준호기자.

심장제세동기 보관함마저 깨져 시민 ""홍보부족… 전화박스인줄""

연간 60만명이 방문하는 것으로 알려진 용인시 한 카페거리에는 유동인구가 많은 곳임에도 불구하고 안전부스가 설치돼 있었다.



주민 이모(40대·여)씨는 ""사람이 없거나 어두운 곳도 아니고 인도도 없는 사실상 차도인데 왜 설치돼 있는지 모르겠다""고 불만을 토로했다.



수원 인계동에 설치된 안전부스 입구에는 관리가 되지 않은 듯 쓰레기봉투와 박스 등이 버려져 있어서 긴급상황 시 사용이 어려워 보였다. 또한 부스 내부에는 전단과 담배꽁초 등이 버려져 있거나 위급상황 시 사용할 수 있도록 설치한 심장제세동기 보관함마저 깨져있어 기초지방자치단체가 지속해서 관리하고 있는지 의문이 들었다.



지속적인 관리뿐만 아니라 긴급상황 시 안전부스라는 대피시설을 적극적으로 이용할 수 있도록 홍보가 필요하다는 의견도 제기되고 있다.



직장인 박모(20대·여)씨는 ""관심 두고 보지 않으면 공중전화 부스로 생각할 수 있을 것 같다""며 ""어디에 있는지 알아야 하는데 제대로 홍보가 되지 않아서 위험할 때 이용하지 못하고 지나칠 거 같다""라고 말했다.



한 지자체 관계자는 ""여성들의 안심귀가나 노약자들의 위험 상황 등을 위한 안전장치로 사용하려 했지만, 현재 이용이 많지 않은게 사실""이라며 ""시민들이 안전하게 이용할 수 있도록 매주 정기 점검을 하고 시민들에게 안전부스를 알리기 위해 부스 안내판 및 홍보 영상교육 등을 이어 나가겠다""고 말했다.



한준호기자"
"이재준 수원시장, “깨끗한 화장실이 인류 보편 권리”","세계화장실협회(WTA) 제6대 회장인 이재준 수원특례시장이 제6차 총회에서 인사말을 하고 있다.(사진=수원시)

[비욘드포스트 김형운 기자] 세계화장실협회(WTA) 제6대 회장인 이재준 수원특례시장이 “깨끗한 화장실이 인류 보편의 권리로 자리 잡을 수 있도록 수원시가 성실히 노력하겠다”고 밝혔다.이재준 수원시장은 세계화장실의 날인 19일 자신의 페이스북에 글을 게시하고, “수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다”며 “올 연말에도 라오스 등 2개 나라에 수원시가 만든 화장실이 문을 열 예정”이라고 밝혔다.수원시는 아름다운 화장실 문화의 중심지다. 수원시의 ‘대유평 화장실’은 지난 10월 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다.이번 수상을 포함해 ‘아름다운 화장실 공모전’에서 29차례 수상하며 ‘명품 화장실 도시’로서 위상을 공고히 하고 있다.제1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다. 또 금상은 3회, 은상 9회, 동상 9회, 특별상 4회에 이른다.수원시는 개발도상국 곳곳에 ‘Suwon Public Toilet(수원화장실)’을 설립하고 있다. 수원화장실은 수원시가 지난 2014년부터 추진해 온 개발도상국 공중화장실 설립 지원사업으로 설립됐다.라오스 루앙프라방 꽝시폭포나 캄보디아 씨엠립 앙코르와트 유적지 등 유명 관광지를 비롯해 라오스, 캄보디아, 네팔, 베트남, 방글라데시, 필리핀, 터키, 미얀마, 몽골, 잠비아 등 10개국에 수원화장실 26개소가 있다.수원시는 관내 화변기 설치율이 높은 학교를 대상으로 화변기를 양변기로 교체할 계획이다. 2024년 전체 변기 중 화변기 비율을 7%까지 줄이는 것을 목표로 삼았다. 2026년까지 화변기 비율을 3%까지 줄일 계획이다.또 공중화장실을 개선하기 위해 노후화된 화장실은 리모델링하고, 화변기가 설치된 공중화장실 32곳 중 20곳에 있는 화변기 41개를 양변기로 교체한다.올해 11월 기준 비상시 경찰에 비상 알림을 전달하는 비상벨을 68곳 공중화장실에 설치했고, 2024년 60곳, 2025년 48곳에 설치할 예정이다.개방화장실에는 현재 편의용품(휴지, 종량제봉투, 물비누)을 지원 중이다. 2024년부터 운영비용을 추가 지원해 개방화장실을 확대 운영할 계획이다.news@beyondpost.co.kr"
"이재준 수원시장, ""깨끗한 화장실, 인류 보편 권리되도록 수원시가 노력하겠다...","해우재 문화센터. (사진=수원시)

[수원일보=정준성 기자] 이재준 수원특례시장은 “깨끗한 화장실이 인류 보편의 권리로 자리 잡을 수 있도록 수원시가 성실히 노력하겠다”고 밝혔다.

세계화장실협회(WTA) 제6대 회장인 이 시장은 세계화장실의 날인 19일 자신의 페이스북에 이같이 글을 게시하고, “수원시는 10개국 26곳에 ‘메이드 인 수원 화장실’을 보급했다”며 “올 연말에도 라오스 등 2개 나라에 수원시가 만든 화장실이 문을 열 예정”이라고 밝혔다.

이재준 수원시장이 지난 5월 열린 세계화장실협회 제6회 총회에서 발언하고 있다. (사진=수원시)

대유평 화장실. (사진=수원시)

수원시는 아름다운 화장실 문화의 중심지다. 수원시의 ‘대유평 화장실’은 지난 10월 16일 행정안전부·화장실문화시민연대가 공동 주최하는 ‘제25회 아름다운화장실 大賞(대상)’ 공모에서 은상(행정안전부장관상)으로 선정됐다. 이번 수상을 포함해 ‘아름다운 화장실 공모전’에서 29차례 수상하며 ‘명품 화장실 도시’로서 위상을 공고히 하고 있다.

제1회 공모전(1999년)에서 ‘광교산 반딧불이 화장실’이 대상을 받은 것을 시작으로 ‘광교중앙공원 화장실’(2015년), ‘미술관 옆 화장실’(2020년)이 대상으로 선정됐다. 또 금상은 3회, 은상 9회, 동상 9회, 특별상 4회에 이른다.

수원시는 개발도상국 곳곳에 ‘Suwon Public Toilet(수원화장실)’을 설립하고 있다. 수원화장실은 수원시가 지난 2014년부터 추진해 온 개발도상국 공중화장실 설립 지원사업으로 설립됐다.

라오스 루앙프라방 꽝시폭포나 캄보디아 씨엠립 앙코르와트 유적지 등 유명 관광지를 비롯해 라오스, 캄보디아, 네팔, 베트남, 방글라데시, 필리핀, 터키, 미얀마, 몽골, 잠비아 등 10개국에 수원화장실 26개소가 있다.

수원시는 관내 화변기 설치율이 높은 학교를 대상으로 화변기를 양변기로 교체할 계획이다. 2024년 전체 변기 중 화변기 비율을 7%까지 줄이는 것을 목표로 삼았다. 2026년까지 화변기 비율을 3%까지 줄일 계획이다.

또 공중화장실을 개선하기 위해 노후화된 화장실은 리모델링하고, 화변기가 설치된 공중화장실 32개소 중 20개소에 있는 화변기 41개를 양변기로 교체한다. 올해 11월 기준 비상시 경찰에 비상 알림을 전달하는 비상벨을 68개소 공중화장실에 설치했고, 2024년 60개소, 2025년 48개소에 설치할 예정이다. 개방화장실에는 현재 편의용품(휴지, 종량제봉투, 물비누)을 지원 중이며, 2024년부터 운영비용을 추가 지원해 개방화장실을 확대 운영할 계획이다."
